paises,azar,equipos,animales,ropa
argentina,efimero,boca,perro,pantalones
brasil,superfluo,river,gato,falda
alemania,inefable,racing,flamenco,vestido
uruguay,casa,barcelona,aguila,camisa
chile,estereo,patronato,chancho,camiseta
peru,ojala,porvenir,gallina,calcetines
bolivia,pelota,huracan,vaca,zapatos
venezuela,carta,independiente,pollo,sueter
colombia,papel,estudiantes,caballo,sombrero
mexico,cargador,lanus,raton,traje
canada,televisor,manchester,halcon,medias
dinamarca,linterna,lazio,buitre,botines
croacia,armario,juventus,leon,chanclas
italia,heladera,arsenal,tigre,bufanda
portugal,correr,inter,jirafa,guantes
austria,telefono,milan,mono,orejeras
china,foco,everton,elefante,chaleco
corea,piso,schalke,tiburon,boina
japon,pared,bayern,ballena,sudadera
rusia,puerta,napoles,delfin,mascara
catar,silla,monaco,orca,minifalda
ejipto,cable,getafe,pejerrey,boxers


